               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023488,            0.010334,            0.025767,             0.50049,                   1,             0.67998,             0.58203,           0.0076794,           0.0024384,            0.014887,            0.002872,            0.002872,            0.002872
                  38,            0.020912,            0.010248,            0.023806,             0.50727,                   1,             0.67779,             0.57327,           0.0082139,           0.0024568,            0.014851,            0.002674,            0.002674,            0.002674
                  39,              0.0215,            0.011104,            0.025678,             0.50602,                   1,             0.68148,             0.56617,           0.0075858,           0.0024308,            0.014807,            0.002476,            0.002476,            0.002476
                  40,            0.021461,            0.010279,            0.025699,             0.52322,             0.99231,             0.70618,             0.59076,           0.0073806,           0.0024087,            0.014674,            0.002278,            0.002278,            0.002278
                  41,             0.01826,            0.010084,            0.023771,             0.52406,             0.96154,             0.72171,             0.62068,           0.0069345,           0.0022824,            0.014566,             0.00208,             0.00208,             0.00208
                  42,            0.023278,            0.011246,            0.027025,             0.53377,             0.96154,             0.73535,             0.63447,           0.0079163,           0.0023148,            0.014452,            0.001882,            0.001882,            0.001882
                  43,            0.019636,           0.0096886,            0.025107,             0.55896,             0.95124,             0.73877,             0.63484,           0.0072807,           0.0023264,            0.014337,            0.001684,            0.001684,            0.001684
                  44,            0.017806,            0.010073,            0.024218,             0.57121,             0.94231,             0.75477,             0.64728,           0.0072247,           0.0023554,             0.01428,            0.001486,            0.001486,            0.001486
                  45,            0.019599,            0.010117,            0.026115,             0.58622,             0.92489,             0.76218,             0.65428,           0.0069451,           0.0023113,            0.014269,            0.001288,            0.001288,            0.001288
                  46,             0.01778,           0.0097198,            0.025318,             0.59513,             0.90247,             0.77461,             0.67001,           0.0064999,           0.0021913,            0.014225,             0.00109,             0.00109,             0.00109
                  47,            0.019593,           0.0093702,            0.025193,             0.58951,                 0.9,             0.79378,             0.69311,           0.0065272,           0.0021735,            0.014204,            0.000892,            0.000892,            0.000892
                  48,            0.017664,           0.0098844,            0.024284,             0.58382,             0.91923,             0.80038,             0.69929,           0.0065614,           0.0021704,            0.014209,            0.000694,            0.000694,            0.000694
                  49,            0.019291,           0.0092391,            0.025157,             0.62483,             0.92586,             0.80274,              0.7036,           0.0059226,           0.0021657,            0.014206,            0.000496,            0.000496,            0.000496
